City,Type,Index
"Abilene, TX",metro,91
"Akron, OH",metro,89.7
"Albany, GA",metro,83.8
"Albany, OR",metro,93.6
"Albany-Schenectady-Troy, NY",metro,99.7
"Albuquerque, NM",metro,97.4
"Alexandria, LA",metro,88.3
"Allentown-Bethlehem-Easton, PA-NJ",metro,100.4
"Altoona, PA",metro,89.5
"Amarillo, TX",metro,93
"Ames, IA",metro,91.3
"Anchorage, AK",metro,109.4
"Ann Arbor, MI",metro,101.9
"Anniston-Oxford-Jacksonville, AL",metro,84.1
"Appleton, WI",metro,92.4
"Asheville, NC",metro,93
"Athens-Clarke County, GA",metro,91.6
"Atlanta-Sandy Springs-Roswell, GA",metro,96.1
"Atlantic City-Hammonton, NJ",metro,105.1
"Auburn-Opelika, AL",metro,84.7
"Augusta-Richmond County, GA-SC",metro,88.7
"Austin-Round Rock, TX",metro,99.5
"Bakersfield, CA",metro,97.9
"Baltimore-Columbia-Towson, MD",metro,107.5
"Bangor, ME",metro,95.9
"Barnstable Town, MA",metro,102.5
"Baton Rouge, LA",metro,92.9
"Battle Creek, MI",metro,91.1
"Bay City, MI",metro,88.6
"Beaumont-Port Arthur, TX",metro,90.2
"Beckley, WV",metro,79.7
"Bellingham, WA",metro,100.4
"Bend-Redmond, OR",metro,96.9
"Billings, MT",metro,98.8
"Binghamton, NY",metro,95.1
"Birmingham-Hoover, AL",metro,89.2
"Bismarck, ND",metro,94.2
"Blacksburg-Christiansburg-Radford, VA",metro,89.4
"Bloomington, IL",metro,94.1
"Bloomington, IN",metro,94.6
"Bloomsburg-Berwick, PA",metro,93.7
"Boise City, ID",metro,95.2
"Boston-Cambridge-Newton, MA-NH",metro,110.3
"Boulder, CO",metro,110.1
"Bowling Green, KY",metro,85.7
"Bremerton-Silverdale, WA",metro,106
"Bridgeport-Stamford-Norwalk, CT",metro,120.1
"Brownsville-Harlingen, TX",metro,84
"Brunswick, GA",metro,86.6
"Buffalo-Cheektowaga-Niagara Falls, NY",metro,93.9
"Burlington, NC",metro,90
"Burlington-South Burlington, VT",metro,103.2
"California-Lexington Park, MD",metro,98.7
"Canton-Massillon, OH",metro,89
"Cape Coral-Fort Myers, FL",metro,95.4
"Cape Girardeau, MO-IL",metro,82.7
"Carbondale-Marion, IL",metro,83.9
"Carson City, NV",metro,95.3
"Casper, WY",metro,98.1
"Cedar Rapids, IA",metro,89.8
"Chambersburg-Waynesboro, PA",metro,93.6
"Champaign-Urbana, IL",metro,93.9
"Charleston, WV",metro,87.5
"Charleston-North Charleston, SC",metro,96.1
"Charlotte-Concord-Gastonia, NC-SC",metro,93.5
"Charlottesville, VA",metro,98.1
"Chattanooga, TN-GA",metro,89.9
"Cheyenne, WY",metro,98.1
"Chicago-Naperville-Elgin, IL-IN-WI",metro,104.6
"Chico, CA",metro,99.7
"Cincinnati, OH-KY-IN",metro,89.2
"Clarksville, TN-KY",metro,91
"Cleveland, TN",metro,84.4
"Cleveland-Elyria, OH",metro,89.7
"Coeur d'Alene, ID",metro,93.5
"College Station-Bryan, TX",metro,93.5
"Colorado Springs, CO",metro,100.2
"Columbia, MO",metro,92.2
"Columbia, SC",metro,91.7
"Columbus, GA-AL",metro,89.4
"Columbus, IN",metro,87.7
"Columbus, OH",metro,93.1
"Corpus Christi, TX",metro,93.4
"Corvallis, OR",metro,99.2
"Crestview-Fort Walton Beach-Destin, FL",metro,95.1
"Cumberland, MD-WV",metro,87.7
"Dallas-Fort Worth-Arlington, TX",metro,100
"Dalton, GA",metro,84.2
"Danville, IL",metro,81.2
"Daphne-Fairhope-Foley, AL",metro,91.2
"Davenport-Moline-Rock Island, IA-IL",metro,90.5
"Dayton, OH",metro,90.5
"Decatur, AL",metro,86.5
"Decatur, IL",metro,87.6
"Deltona-Daytona Beach-Ormond Beach, FL",metro,95.5
"Denver-Aurora-Lakewood, CO",metro,106
"Des Moines-West Des Moines, IA",metro,95
"Detroit-Warren-Dearborn, MI",metro,96.6
"Dothan, AL",metro,84.9
"Dover, DE",metro,94.2
"Dubuque, IA",metro,92.3
"Duluth, MN-WI",metro,90.8
"Durham-Chapel Hill, NC",metro,95.3
"East Stroudsburg, PA",metro,98.9
"Eau Claire, WI",metro,91.7
"El Centro, CA",metro,89.6
"Elizabethtown-Fort Knox, KY",metro,86.1
"Elkhart-Goshen, IN",metro,90.9
"Elmira, NY",metro,94.6
"El Paso, TX",metro,89.3
"Enid, OK M",metro,90
"Erie, PA",metro,92.4
"Eugene, OR",metro,98.5
"Evansville, IN-KY",metro,90
"Fairbanks, AK",metro,106.4
"Fargo, ND-MN",metro,92.9
"Farmington, NM",metro,90.2
"Fayetteville, NC",metro,90.7
"Fayetteville-Springdale-Rogers, AR-MO",metro,89.8
"Flagstaff, AZ",metro,98.6
"Flint, MI",metro,91.5
"Florence, SC",metro,85.8
"Florence-Muscle Shoals, AL",metro,83.8
"Fond du Lac, WI",metro,87.3
"Fort Collins, CO",metro,102.2
"Fort Smith, AR-OK",metro,85.4
"Fort Wayne, IN",metro,90.1
"Fresno, CA",metro,97.2
"Gadsden, AL",metro,84.5
"Gainesville, FL",metro,94.6
"Gainesville, GA",metro,89.2
"Gettysburg, PA",metro,95.8
"Glens Falls, NY",metro,96.3
"Goldsboro, NC",metro,87.8
"Grand Forks, ND-MN",metro,94.1
"Grand Island, NE",metro,85.8
"Grand Junction, CO",metro,94.4
"Grand Rapids-Wyoming, MI",metro,93.7
"Grants Pass, OR",metro,93.9
"Great Falls, MT",metro,93.9
"Greeley, CO",metro,99.7
"Green Bay, WI",metro,91.6
"Greensboro-High Point, NC",metro,90
"Greenville, NC",metro,88.4
"Greenville-Anderson-Mauldin, SC",metro,89.8
"Gulfport-Biloxi-Pascagoula, MS",metro,89.5
"Hagerstown-Martinsburg, MD-WV",metro,100.6
"Hammond, LA",metro,86.1
"Hanford-Corcoran, CA",metro,92.7
"Harrisburg-Carlisle, PA",metro,96
"Harrisonburg, VA",metro,89.9
"Hartford-West Hartford-East Hartford, CT",metro,100.8
