City,Type,Index
"Abilene, TX",metro,91
"Akron, OH",metro,89.7
"Albany, GA",metro,83.8
"Albany, OR",metro,93.6
"Albany, NY",metro,99.7
"Schenectady, NY",metro,99.7
"Troy, NY",metro,99.7
"Albuquerque, NM",metro,97.4
"Alexandria, LA",metro,88.3
"Allentown, PA",metro,100.4
"Allentown, NJ",metro,100.4
"Bethlehem, PA",metro,100.4
"Bethlehem, NJ",metro,100.4
"Easton, PA",metro,100.4
"Easton, NJ",metro,100.4
"Altoona, PA",metro,89.5
"Amarillo, TX",metro,93
"Ames, IA",metro,91.3
"Anchorage, AK",metro,109.4
"Ann Arbor, MI",metro,101.9
"Anniston, AL",metro,84.1
"Oxford, AL",metro,84.1
"Jacksonville, AL",metro,84.1
"Appleton, WI",metro,92.4
"Asheville, NC",metro,93
"Athens, GA",metro,91.6
"Clarke County, GA",metro,91.6
"Atlanta, GA",metro,96.1
"Sandy Springs, GA",metro,96.1
"Roswell, GA",metro,96.1
"Atlantic City, NJ",metro,105.1
"Hammonton, NJ",metro,105.1
"Auburn, AL",metro,84.7
"Opelika, AL",metro,84.7
"Augusta, GA",metro,88.7
"Augusta, SC",metro,88.7
"Richmond County, GA",metro,88.7
"Richmond County, SC",metro,88.7
"Austin, TX",metro,99.5
"Round Rock, TX",metro,99.5
"Bakersfield, CA",metro,97.9
"Baltimore, MD",metro,107.5
"Columbia, MD",metro,107.5
"Towson, MD",metro,107.5
"Bangor, ME",metro,95.9
"Barnstable Town, MA",metro,102.5
"Baton Rouge, LA",metro,92.9
"Battle Creek, MI",metro,91.1
"Bay City, MI",metro,88.6
"Beaumont, TX",metro,90.2
"Port Arthur, TX",metro,90.2
"Beckley, WV",metro,79.7
"Bellingham, WA",metro,100.4
"Bend, OR",metro,96.9
"Redmond, OR",metro,96.9
"Billings, MT",metro,98.8
"Binghamton, NY",metro,95.1
"Birmingham, AL",metro,89.2
"Hoover, AL",metro,89.2
"Bismarck, ND",metro,94.2
"Blacksburg, VA",metro,89.4
"Christiansburg, VA",metro,89.4
"Radford, VA",metro,89.4
"Bloomington, IL",metro,94.1
"Bloomington, IN",metro,94.6
"Bloomsburg, PA",metro,93.7
"Berwick, PA",metro,93.7
"Boise City, ID",metro,95.2
"Boston, MA",metro,110.3
"Boston, NH",metro,110.3
"Cambridge, MA",metro,110.3
"Cambridge, NH",metro,110.3
"Newton, MA",metro,110.3
"Newton, NH",metro,110.3
"Boulder, CO",metro,110.1
"Bowling Green, KY",metro,85.7
"Bremerton, WA",metro,106
"Silverdale, WA",metro,106
"Bridgeport, CT",metro,120.1
"Stamford, CT",metro,120.1
"Norwalk, CT",metro,120.1
"Brownsville, TX",metro,84
"Harlingen, TX",metro,84
"Brunswick, GA",metro,86.6
"Buffalo, NY",metro,93.9
"Cheektowaga, NY",metro,93.9
"Niagara Falls, NY",metro,93.9
"Burlington, NC",metro,90
"Burlington, VT",metro,103.2
"South Burlington, VT",metro,103.2
"California, MD",metro,98.7
"Lexington Park, MD",metro,98.7
"Canton, OH",metro,89
"Massillon, OH",metro,89
"Cape Coral, FL",metro,95.4
"Fort Myers, FL",metro,95.4
"Cape Girardeau, MO",metro,82.7
"Cape Girardeau, IL",metro,82.7
"Carbondale, IL",metro,83.9
"Marion, IL",metro,83.9
"Carson City, NV",metro,95.3
"Casper, WY",metro,98.1
"Cedar Rapids, IA",metro,89.8
"Chambersburg, PA",metro,93.6
"Waynesboro, PA",metro,93.6
"Champaign, IL",metro,93.9
"Urbana, IL",metro,93.9
"Charleston, WV",metro,87.5
"Charleston, SC",metro,96.1
"North Charleston, SC",metro,96.1
"Charlotte, NC",metro,93.5
"Charlotte, SC",metro,93.5
"Concord, NC",metro,93.5
"Concord, SC",metro,93.5
"Gastonia, NC",metro,93.5
"Gastonia, SC",metro,93.5
"Charlottesville, VA",metro,98.1
"Chattanooga, TN",metro,89.9
"Chattanooga, GA",metro,89.9
"Cheyenne, WY",metro,98.1
"Chicago, IL",metro,104.6
"Chicago, IN",metro,104.6
"Chicago, WI",metro,104.6
"Naperville, IL",metro,104.6
"Naperville, IN",metro,104.6
"Naperville, WI",metro,104.6
"Elgin, IL",metro,104.6
"Elgin, IN",metro,104.6
"Elgin, WI",metro,104.6
"Chico, CA",metro,99.7
"Cincinnati, OH",metro,89.2
"Cincinnati, KY",metro,89.2
"Cincinnati, IN",metro,89.2
"Clarksville, TN",metro,91
"Clarksville, KY",metro,91
"Cleveland, TN",metro,84.4
"Cleveland, OH",metro,89.7
"Elyria, OH",metro,89.7
"Coeur d'Alene, ID",metro,93.5
"College Station, TX",metro,93.5
"Bryan, TX",metro,93.5
"Colorado Springs, CO",metro,100.2
"Columbia, MO",metro,92.2
"Columbia, SC",metro,91.7
"Columbus, GA",metro,89.4
"Columbus, AL",metro,89.4
"Columbus, IN",metro,87.7
"Columbus, OH",metro,93.1
"Corpus Christi, TX",metro,93.4
"Corvallis, OR",metro,99.2
"Crestview, FL",metro,95.1
"Fort Walton Beach, FL",metro,95.1
"Destin, FL",metro,95.1
"Cumberland, MD",metro,87.7
"Cumberland, WV",metro,87.7
"Dallas, TX",metro,100
"Fort Worth, TX",metro,100
"Arlington, TX",metro,100
"Dalton, GA",metro,84.2
"Danville, IL",metro,81.2
"Daphne, AL",metro,91.2
"Fairhope, AL",metro,91.2
"Foley, AL",metro,91.2
"Davenport, IA",metro,90.5
"Davenport, IL",metro,90.5
"Moline, IA",metro,90.5
"Moline, IL",metro,90.5
"Rock Island, IA",metro,90.5
"Rock Island, IL",metro,90.5
"Dayton, OH",metro,90.5
"Decatur, AL",metro,86.5
"Decatur, IL",metro,87.6
"Deltona, FL",metro,95.5
"Daytona Beach, FL",metro,95.5
"Ormond Beach, FL",metro,95.5
"Denver, CO",metro,106
"Aurora, CO",metro,106
"Lakewood, CO",metro,106
"Des Moines, IA",metro,95
"West Des Moines, IA",metro,95
"Detroit, MI",metro,96.6
"Warren, MI",metro,96.6
"Dearborn, MI",metro,96.6
